Names,Age,Team,Nationality,Contract Expiration,Page Link,Name ID,Manager ID,Manager Profile
Xavier García Pimienta,50,Sevilla FC,Spain,"Jun 30, 2027",https://www.transfermarkt.us/xavier-garcia-pimienta/profil/trainer/23730,xavier-garcia-pimienta,23730,https://img.a.transfermarkt.technology/portrait/header/23730-1597651680.jpg?lm=1
Claudio Giráldez,36,Celta de Vigo,Spain,"Jun 30, 2027",https://www.transfermarkt.us/claudio-giraldez/profil/trainer/97955,claudio-giraldez,97955,https://img.a.transfermarkt.technology/portrait/header/97955-1713535765.jpg?lm=1
Iñigo Pérez,36,Rayo Vallecano,Spain,"Jun 30, 2025",https://www.transfermarkt.us/inigo-perez/profil/trainer/107085,inigo-perez,107085,https://img.a.transfermarkt.technology/portrait/header/107085-1707905982.jpg?lm=1
Diego Martínez,43,UD Las Palmas,Spain,"Jun 30, 2025",https://www.transfermarkt.us/diego-martinez/profil/trainer/25435,diego-martinez,25435,https://img.a.transfermarkt.technology/portrait/header/25435-1696247135.jpg?lm=1
Borja Jiménez,39,CD Leganés,Spain,"Jun 30, 2025",https://www.transfermarkt.us/borja-jimenez/profil/trainer/43500,borja-jimenez,43500,https://img.a.transfermarkt.technology/portrait/header/43500-1698881718.jpg?lm=1
Eduardo Coudet,50,Deportivo Alavés,Argentina,"Jun 30, 2025",https://www.transfermarkt.us/eduardo-coudet/profil/trainer/38808,eduardo-coudet,38808,https://img.a.transfermarkt.technology/portrait/header/38808-1600586507.jpg?lm=1
Pepe Bordalás,60,Getafe CF,Spain,"Jun 30, 2025",https://www.transfermarkt.us/pepe-bordalas/profil/trainer/6440,pepe-bordalas,6440,https://img.a.transfermarkt.technology/portrait/header/6440-1696863140.jpg?lm=1
Manolo González,45,RCD Espanyol Barcelona,Spain,"Jun 30, 2025",https://www.transfermarkt.us/manolo-gonzalez/profil/trainer/6446,manolo-gonzalez,6446,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Rubén Baraja,49,Valencia CF,Spain,"Jun 30, 2026",https://www.transfermarkt.us/ruben-baraja/profil/trainer/19552,ruben-baraja,19552,https://img.a.transfermarkt.technology/portrait/header/19552-1487752239.jpg?lm=1
Álvaro Rubio,45,Real Valladolid CF,Spain,"Jun 30, 2025",https://www.transfermarkt.us/alvaro-rubio/profil/trainer/62317,alvaro-rubio,62317,https://img.a.transfermarkt.technology/portrait/header/62317-1732218820.jpg?lm=1
Antonio Conte,55,SSC Napoli,Italy,"Jun 30, 2027",https://www.transfermarkt.us/antonio-conte/profil/trainer/3517,antonio-conte,3517,https://img.a.transfermarkt.technology/portrait/header/3517-1502879329.jpg?lm=1
Gian Piero Gasperini,66,Atalanta BC,Italy,"Jun 30, 2025",https://www.transfermarkt.us/gian-piero-gasperini/profil/trainer/3436,gian-piero-gasperini,3436,https://img.a.transfermarkt.technology/portrait/header/3436-1663862210.jpg?lm=1
Simone Inzaghi,48,Inter Milan,Italy,"Jun 30, 2027",https://www.transfermarkt.us/simone-inzaghi/profil/trainer/21624,simone-inzaghi,21624,https://img.a.transfermarkt.technology/portrait/header/21624-1663979865.jpg?lm=1
Raffaele Palladino,40,ACF Fiorentina,Italy,"Jun 30, 2026",https://www.transfermarkt.us/raffaele-palladino/profil/trainer/95674,raffaele-palladino,95674,https://img.a.transfermarkt.technology/portrait/header/95674-1663872108.jpg?lm=1
Marco Baroni,61,SS Lazio,Italy,"Jun 30, 2026",https://www.transfermarkt.us/marco-baroni/profil/trainer/12015,marco-baroni,12015,https://img.a.transfermarkt.technology/portrait/header/12015-1718122168.jpg?lm=1
Thiago Motta,42,Juventus FC,Italy,"Jun 30, 2027",https://www.transfermarkt.us/thiago-motta/profil/trainer/61868,thiago-motta,61868,https://img.a.transfermarkt.technology/portrait/header/61868-1716465078.jpg?lm=1
Paulo Fonseca,51,AC Milan,Portugal,"Jun 30, 2027",https://www.transfermarkt.us/paulo-fonseca/profil/trainer/19944,paulo-fonseca,19944,https://img.a.transfermarkt.technology/portrait/header/19944-1502877907.jpg?lm=1
Vincenzo Italiano,46,Bologna FC 1909,Italy,"Jun 30, 2026",https://www.transfermarkt.us/vincenzo-italiano/profil/trainer/47288,vincenzo-italiano,47288,https://img.a.transfermarkt.technology/portrait/header/47288-1663950225.jpg?lm=1
Kosta Runjaic,53,Udinese Calcio,Germany,"Jun 30, 2025",https://www.transfermarkt.us/kosta-runjaic/profil/trainer/1982,kosta-runjaic,1982,https://img.a.transfermarkt.technology/portrait/header/1982-1677704993.png?lm=1
Roberto D'Aversa,49,FC Empoli,Italy,"Jun 30, 2026",https://www.transfermarkt.us/roberto-daversa/profil/trainer/35782,roberto-daversa,35782,https://img.a.transfermarkt.technology/portrait/header/35782-1443173493.jpg?lm=1
Fabio Pecchia,51,Parma Calcio 1913,Italy,"Jun 30, 2027",https://www.transfermarkt.us/fabio-pecchia/profil/trainer/19635,fabio-pecchia,19635,https://img.a.transfermarkt.technology/portrait/header/19635-1663981077.jpg?lm=1
Paolo Vanoli,52,Torino FC,Italy,"Jun 30, 2026",https://www.transfermarkt.us/paolo-vanoli/profil/trainer/31876,paolo-vanoli,31876,https://img.a.transfermarkt.technology/portrait/header/31876-1677440290.jpg?lm=1
Davide Nicola,51,Cagliari Calcio,Italy,"Jun 30, 2026",https://www.transfermarkt.us/davide-nicola/profil/trainer/14892,davide-nicola,14892,https://img.a.transfermarkt.technology/portrait/header/14892-1644914474.png?lm=1
Patrick Vieira,48,Genoa CFC,France,"Jun 30, 2026",https://www.transfermarkt.us/patrick-vieira/profil/trainer/20029,patrick-vieira,20029,https://img.a.transfermarkt.technology/portrait/header/20029-1574786494.jpg?lm=1
Claudio Ranieri,73,AS Roma,Italy,"Jun 30, 2025",https://www.transfermarkt.us/claudio-ranieri/profil/trainer/456,claudio-ranieri,456,https://img.a.transfermarkt.technology/portrait/header/456-1521199129.jpg?lm=1
Marco Giampaolo,57,US Lecce,Italy,"Jun 30, 2025",https://www.transfermarkt.us/marco-giampaolo/profil/trainer/3257,marco-giampaolo,3257,https://img.a.transfermarkt.technology/portrait/header/3257-1663929122.jpg?lm=1
Paolo Zanetti,41,Hellas Verona,Italy,"Jun 30, 2025",https://www.transfermarkt.us/paolo-zanetti/profil/trainer/52249,paolo-zanetti,52249,https://img.a.transfermarkt.technology/portrait/header/52249-1663930060.jpg?lm=1
Cesc Fàbregas,37,Como 1907,Spain,"Jun 30, 2028",https://www.transfermarkt.us/cesc-fabregas/profil/trainer/117406,cesc-fabregas,117406,https://img.a.transfermarkt.technology/portrait/header/117406-1699867535.jpg?lm=1
Alessandro Nesta,48,AC Monza,Italy,"Jun 30, 2025",https://www.transfermarkt.us/alessandro-nesta/profil/trainer/34187,alessandro-nesta,34187,https://img.a.transfermarkt.technology/portrait/header/34187-1570172424.jpg?lm=1
Eusebio Di Francesco,55,Venezia FC,Italy,"Jun 30, 2026",https://www.transfermarkt.us/eusebio-di-francesco/profil/trainer/12924,eusebio-di-francesco,12924,https://img.a.transfermarkt.technology/portrait/header/12924-1631177386.jpg?lm=1
Vincent Kompany,38,Bayern Munich,Belgium,"Jun 30, 2027",https://www.transfermarkt.us/vincent-kompany/profil/trainer/69681,vincent-kompany,69681,https://img.a.transfermarkt.technology/portrait/header/69681-1564388151.jpg?lm=1
Dino Toppmöller,44,Eintracht Frankfurt,Germany,"Jun 30, 2026",https://www.transfermarkt.us/dino-toppmoller/profil/trainer/14861,dino-toppmoller,14861,https://img.a.transfermarkt.technology/portrait/header/14861-1696510724.jpg?lm=1
Xabi Alonso,43,Bayer 04 Leverkusen,Spain,"Jun 30, 2026",https://www.transfermarkt.us/xabi-alonso/profil/trainer/63052,xabi-alonso,63052,https://img.a.transfermarkt.technology/portrait/header/63052-1665057370.jpg?lm=1
Marco Rose,48,RB Leipzig,Germany,"Jun 30, 2026",https://www.transfermarkt.us/marco-rose/profil/trainer/24197,marco-rose,24197,https://img.a.transfermarkt.technology/portrait/header/24197-1662631843.jpg?lm=1
