Names,Age,Team,Position,Roles,Nationality,Market Value (In Millions),Player Profile Link,Name ID,ID,League,Player Image
Folarin Balogun,23,AS Monaco,Centre-Forward,Attack,United States,€25.00m,https://www.transfermarkt.us/folarin-balogun/profil/spieler/503770,folarin-balogun,503770,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/503770-1672838317.jpg?lm=1
George Ilenikhena,18,AS Monaco,Centre-Forward,Attack,Nigeria,€15.00m,https://www.transfermarkt.us/george-ilenikhena/profil/spieler/1004834,george-ilenikhena,1004834,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1004834-1702545922.jpg?lm=1
Breel Embolo,27,AS Monaco,Centre-Forward,Attack,Switzerland,€12.00m,https://www.transfermarkt.us/breel-embolo/profil/spieler/237662,breel-embolo,237662,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/237662-1669288888.jpg?lm=1
Marco Bizot,33,Stade Brestois 29,Goalkeeper,Goalkeeper,Netherlands,€4.00m,https://www.transfermarkt.us/marco-bizot/profil/spieler/124884,marco-bizot,124884,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/124884-1707302509.jpg?lm=1
Grégoire Coudert,25,Stade Brestois 29,Goalkeeper,Goalkeeper,France,€0.4m,https://www.transfermarkt.us/gregoire-coudert/profil/spieler/525155,gregoire-coudert,525155,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/525155-1632761084.jpg?lm=1
Noah Jauny,20,Stade Brestois 29,Goalkeeper,Goalkeeper,Ireland,€0.0m,https://www.transfermarkt.us/noah-jauny/profil/spieler/975438,noah-jauny,975438,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Brendan Chardonnet,29,Stade Brestois 29,Centre-Back,Defender,France,€8.00m,https://www.transfermarkt.us/brendan-chardonnet/profil/spieler/250779,brendan-chardonnet,250779,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/250779-1582538208.jpg?lm=1
Soumaïla Coulibaly,21,Stade Brestois 29,Centre-Back,Defender,France,€6.00m,https://www.transfermarkt.us/soumaila-coulibaly/profil/spieler/659513,soumaila-coulibaly,659513,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/659513-1657285323.jpg?lm=1
Abdoulaye Ndiaye,22,Stade Brestois 29,Centre-Back,Defender,Senegal,€3.00m,https://www.transfermarkt.us/abdoulaye-ndiaye/profil/spieler/673514,abdoulaye-ndiaye,673514,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/673514-1684140965.jpg?lm=1
Julien Le Cardinal,27,Stade Brestois 29,Centre-Back,Defender,France,€1.50m,https://www.transfermarkt.us/julien-le-cardinal/profil/spieler/794349,julien-le-cardinal,794349,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/794349-1727808054.jpg?lm=1
Bradley Locko,22,Stade Brestois 29,Left-Back,Defender,France,€12.00m,https://www.transfermarkt.us/bradley-locko/profil/spieler/805908,bradley-locko,805908,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/805908-1639674661.png?lm=1
Massadio Haidara,31,Stade Brestois 29,Left-Back,Defender,Mali,€2.00m,https://www.transfermarkt.us/massadio-haidara/profil/spieler/170929,massadio-haidara,170929,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/170929-1599767241.jpg?lm=1
Jordan Amavi,30,Stade Brestois 29,Left-Back,Defender,France,€2.00m,https://www.transfermarkt.us/jordan-amavi/profil/spieler/241229,jordan-amavi,241229,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/241229-1598304378.jpg?lm=1
Kenny Lala,33,Stade Brestois 29,Right-Back,Defender,France,€3.00m,https://www.transfermarkt.us/kenny-lala/profil/spieler/174196,kenny-lala,174196,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/174196-1677254936.jpg?lm=1
Luck Zogbé,19,Stade Brestois 29,Right-Back,Defender,Cote d'Ivoire,€0.5m,https://www.transfermarkt.us/luck-zogbe/profil/spieler/1144999,luck-zogbe,1144999,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1144999-1725882803.jpg?lm=1
Pierre Lees-Melou,31,Stade Brestois 29,Defensive Midfield,Midfield,France,€10.00m,https://www.transfermarkt.us/pierre-lees-melou/profil/spieler/377393,pierre-lees-melou,377393,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/377393-1710182831.jpg?lm=1
Edimilson Fernandes,28,Stade Brestois 29,Defensive Midfield,Midfield,Switzerland,€3.50m,https://www.transfermarkt.us/edimilson-fernandes/profil/spieler/247555,edimilson-fernandes,247555,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/247555-1628596987.jpg?lm=1
Jonas Martin,34,Stade Brestois 29,Defensive Midfield,Midfield,France,€1.00m,https://www.transfermarkt.us/jonas-martin/profil/spieler/127142,jonas-martin,127142,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/127142-1676911402.jpg?lm=1
Mahdi Camara,26,Stade Brestois 29,Central Midfield,Midfield,France,€10.00m,https://www.transfermarkt.us/mahdi-camara/profil/spieler/324795,mahdi-camara,324795,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/324795-1710182811.jpg?lm=1
Hugo Magnetti,26,Stade Brestois 29,Central Midfield,Midfield,France,€7.00m,https://www.transfermarkt.us/hugo-magnetti/profil/spieler/474662,hugo-magnetti,474662,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/474662-1582538510.jpg?lm=1
Romain Faivre,26,Stade Brestois 29,Right Midfield,Midfield,France,€10.00m,https://www.transfermarkt.us/romain-faivre/profil/spieler/555076,romain-faivre,555076,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/555076-1672831296.jpg?lm=1
Kamory Doumbia,21,Stade Brestois 29,Attacking Midfield,Midfield,Mali,€5.00m,https://www.transfermarkt.us/kamory-doumbia/profil/spieler/671594,kamory-doumbia,671594,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/671594-1639672362.png?lm=1
Ibrahim Salah,23,Stade Brestois 29,Left Winger,Attack,Morocco,€4.00m,https://www.transfermarkt.us/ibrahim-salah/profil/spieler/928323,ibrahim-salah,928323,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/928323-1659944229.jpg?lm=1
Mathias Pereira Lage,28,Stade Brestois 29,Left Winger,Attack,France,€2.50m,https://www.transfermarkt.us/mathias-pereira-lage/profil/spieler/424072,mathias-pereira-lage,424072,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/424072-1559892187.png?lm=1
Axel Camblan,21,Stade Brestois 29,Left Winger,Attack,France,€0.5m,https://www.transfermarkt.us/axel-camblan/profil/spieler/924800,axel-camblan,924800,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/924800-1685635027.jpg?lm=1
Romain Del Castillo,28,Stade Brestois 29,Right Winger,Attack,France,€10.00m,https://www.transfermarkt.us/romain-del-castillo/profil/spieler/353399,romain-del-castillo,353399,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/353399-1593964996.jpg?lm=1
Abdallah Sima,23,Stade Brestois 29,Right Winger,Attack,Senegal,€8.00m,https://www.transfermarkt.us/abdallah-sima/profil/spieler/776798,abdallah-sima,776798,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/776798-1672669896.jpg?lm=1
Mama Baldé,29,Stade Brestois 29,Centre-Forward,Attack,Guinea-Bissau,€4.00m,https://www.transfermarkt.us/mama-balde/profil/spieler/325223,mama-balde,325223,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/325223-1702991373.jpg?lm=1
Ludovic Ajorque,30,Stade Brestois 29,Centre-Forward,Attack,France,€3.00m,https://www.transfermarkt.us/ludovic-ajorque/profil/spieler/283994,ludovic-ajorque,283994,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/283994-1692000251.jpg?lm=1
Lucas Chevalier,23,LOSC Lille,Goalkeeper,Goalkeeper,France,€25.00m,https://www.transfermarkt.us/lucas-chevalier/profil/spieler/463600,lucas-chevalier,463600,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/463600-1708342501.jpg?lm=1
Lisandru Olmeta,19,LOSC Lille,Goalkeeper,Goalkeeper,France,€0.2m,https://www.transfermarkt.us/lisandru-olmeta/profil/spieler/810789,lisandru-olmeta,810789,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/810789-1653495300.jpg?lm=1
Vito Mannone,36,LOSC Lille,Goalkeeper,Goalkeeper,Italy,€0.2m,https://www.transfermarkt.us/vito-mannone/profil/spieler/33781,vito-mannone,33781,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/33781-1614092740.jpg?lm=1
Marc-Aurèle Caillard,30,LOSC Lille,Goalkeeper,Goalkeeper,France,€0.2m,https://www.transfermarkt.us/marc-aurele-caillard/profil/spieler/205465,marc-aurele-caillard,205465,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/205465-1697462573.png?lm=1
Bafodé Diakité,23,LOSC Lille,Centre-Back,Defender,France,€18.00m,https://www.transfermarkt.us/bafode-diakite/profil/spieler/463605,bafode-diakite,463605,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/463605-1666691072.jpg?lm=1
Alexsandro,25,LOSC Lille,Centre-Back,Defender,Brazil,€8.00m,https://www.transfermarkt.us/alexsandro/profil/spieler/648020,alexsandro,648020,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/648020-1666689768.jpg?lm=1
Samuel Umtiti,31,LOSC Lille,Centre-Back,Defender,France,€2.50m,https://www.transfermarkt.us/samuel-umtiti/profil/spieler/126540,samuel-umtiti,126540,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/126540-1708342117.jpg?lm=1
Aïssa Mandi,33,LOSC Lille,Centre-Back,Defender,Algeria,€1.80m,https://www.transfermarkt.us/aissa-mandi/profil/spieler/80293,aissa-mandi,80293,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/80293-1704566125.jpg?lm=1
Rafael Fernandes,22,LOSC Lille,Centre-Back,Defender,Portugal,€1.50m,https://www.transfermarkt.us/rafael-fernandes/profil/spieler/744074,rafael-fernandes,744074,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/744074-1649754949.jpg?lm=1
Ousmane Touré,19,LOSC Lille,Centre-Back,Defender,France,€0.05m,https://www.transfermarkt.us/ousmane-toure/profil/spieler/990732,ousmane-toure,990732,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/990732-1711305319.jpg?lm=1
Mitchel Bakker,24,LOSC Lille,Left-Back,Defender,Netherlands,€6.00m,https://www.transfermarkt.us/mitchel-bakker/profil/spieler/361065,mitchel-bakker,361065,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/361065-1658913284.jpg?lm=1
Gabriel Gudmundsson,25,LOSC Lille,Left-Back,Defender,Sweden,€5.00m,https://www.transfermarkt.us/gabriel-gudmundsson/profil/spieler/362108,gabriel-gudmundsson,362108,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/362108-1666691160.jpg?lm=1
Ismaily,34,LOSC Lille,Left-Back,Defender,Brazil,€1.80m,https://www.transfermarkt.us/ismaily/profil/spieler/124028,ismaily,124028,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/124028-1666690981.jpg?lm=1
Tiago Santos,22,LOSC Lille,Right-Back,Defender,Portugal,€15.00m,https://www.transfermarkt.us/tiago-santos/profil/spieler/816580,tiago-santos,816580,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/816580-1708342212.jpg?lm=1
Thomas Meunier,33,LOSC Lille,Right-Back,Defender,Belgium,€2.50m,https://www.transfermarkt.us/thomas-meunier/profil/spieler/100986,thomas-meunier,100986,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/100986-1662361426.jpg?lm=1
Akim Zedadka,29,LOSC Lille,Right-Back,Defender,Algeria,€2.00m,https://www.transfermarkt.us/akim-zedadka/profil/spieler/327863,akim-zedadka,327863,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/327863-1625741792.jpg?lm=1
Nabil Bentaleb,30,LOSC Lille,Defensive Midfield,Midfield,Algeria,€10.00m,https://www.transfermarkt.us/nabil-bentaleb/profil/spieler/245537,nabil-bentaleb,245537,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/245537-1672670443.jpg?lm=1
Benjamin André,34,LOSC Lille,Defensive Midfield,Midfield,France,€8.00m,https://www.transfermarkt.us/benjamin-andre/profil/spieler/84301,benjamin-andre,84301,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/84301-1666690769.jpg?lm=1
Ngal'ayel Mukau,20,LOSC Lille,Defensive Midfield,Midfield,DR Congo,€4.00m,https://www.transfermarkt.us/ngalayel-mukau/profil/spieler/1016015,ngalayel-mukau,1016015,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1016015-1718287299.jpg?lm=1
André Gomes,31,LOSC Lille,Central Midfield,Midfield,Portugal,€10.00m,https://www.transfermarkt.us/andre-gomes/profil/spieler/221025,andre-gomes,221025,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/221025-1666691237.jpg?lm=1
Ayyoub Bouaddi,17,LOSC Lille,Central Midfield,Midfield,France,€10.00m,https://www.transfermarkt.us/ayyoub-bouaddi/profil/spieler/1097139,ayyoub-bouaddi,1097139,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1097139-1732539423.jpg?lm=1
Ethan Mbappé,17,LOSC Lille,Central Midfield,Midfield,France,€2.00m,https://www.transfermarkt.us/ethan-mbappe/profil/spieler/903666,ethan-mbappe,903666,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/903666-1716562689.jpg?lm=1
Angel Gomes,24,LOSC Lille,Attacking Midfield,Midfield,England,€28.00m,https://www.transfermarkt.us/angel-gomes/profil/spieler/392770,angel-gomes,392770,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/392770-1666690396.jpg?lm=1
Rémy Cabella,34,LOSC Lille,Attacking Midfield,Midfield,France,€3.50m,https://www.transfermarkt.us/remy-cabella/profil/spieler/113707,remy-cabella,113707,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/113707-1666690101.jpg?lm=1
Hákon Arnar Haraldsson,21,LOSC Lille,Left Winger,Attack,Iceland,€9.00m,https://www.transfermarkt.us/hakon-arnar-haraldsson/profil/spieler/652275,hakon-arnar-haraldsson,652275,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/652275-1662491592.jpg?lm=1
Osame Sahraoui,23,LOSC Lille,Left Winger,Attack,Morocco,€8.50m,https://www.transfermarkt.us/osame-sahraoui/profil/spieler/580657,osame-sahraoui,580657,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/580657-1723713882.jpg?lm=1
Edon Zhegrova,25,LOSC Lille,Right Winger,Attack,Kosovo,€25.00m,https://www.transfermarkt.us/edon-zhegrova/profil/spieler/496857,edon-zhegrova,496857,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/496857-1642174107.jpg?lm=1
Jonathan David,24,LOSC Lille,Centre-Forward,Attack,Canada,€45.00m,https://www.transfermarkt.us/jonathan-david/profil/spieler/533738,jonathan-david,533738,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/533738-1666690584.jpg?lm=1
Matias Fernandez-Pardo,19,LOSC Lille,Centre-Forward,Attack,Belgium,€6.00m,https://www.transfermarkt.us/matias-fernandez-pardo/profil/spieler/724129,matias-fernandez-pardo,724129,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/724129-1690099031.jpg?lm=1
Mohamed Bayo,26,LOSC Lille,Centre-Forward,Attack,Guinea,€5.00m,https://www.transfermarkt.us/mohamed-bayo/profil/spieler/594991,mohamed-bayo,594991,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/594991-1625740933.jpg?lm=1
Marcin Bulka,25,OGC Nice,Goalkeeper,Goalkeeper,Poland,€20.00m,https://www.transfermarkt.us/marcin-bulka/profil/spieler/465955,marcin-bulka,465955,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/465955-1611915733.jpg?lm=1
Maxime Dupé,31,OGC Nice,Goalkeeper,Goalkeeper,France,€1.50m,https://www.transfermarkt.us/maxime-dupe/profil/spieler/127188,maxime-dupe,127188,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/127188-1676656357.jpg?lm=1
Teddy Boulhendi,23,OGC Nice,Goalkeeper,Goalkeeper,Algeria,€0.1m,https://www.transfermarkt.us/teddy-boulhendi/profil/spieler/789419,teddy-boulhendi,789419,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/789419-1596556222.jpg?lm=1
Moïse Bombito,24,OGC Nice,Centre-Back,Defender,Canada,€7.00m,https://www.transfermarkt.us/moise-bombito/profil/spieler/1089202,moise-bombito,1089202,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1089202-1709402219.jpg?lm=1
Mohamed Abdelmonem,25,OGC Nice,Centre-Back,Defender,Egypt,€4.00m,https://www.transfermarkt.us/mohamed-abdelmonem/profil/spieler/566025,mohamed-abdelmonem,566025,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/566025-1641136609.jpg?lm=1
Dante,41,OGC Nice,Centre-Back,Defender,Brazil,€0.5m,https://www.transfermarkt.us/dante/profil/spieler/16136,dante,16136,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/16136-1603016168.jpg?lm=1
Amidou Doumbouya,17,OGC Nice,Centre-Back,Defender,France,€0.3m,https://www.transfermarkt.us/amidou-doumbouya/profil/spieler/1075574,amidou-doumbouya,1075574,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Melvin Bard,24,OGC Nice,Left-Back,Defender,France,€12.00m,https://www.transfermarkt.us/melvin-bard/profil/spieler/532775,melvin-bard,532775,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/532775-1649428267.jpg?lm=1
Ali Abdi,30,OGC Nice,Left-Back,Defender,Tunisia,€1.50m,https://www.transfermarkt.us/ali-abdi/profil/spieler/211474,ali-abdi,211474,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/211474-1669277406.jpg?lm=1
Jonathan Clauss,32,OGC Nice,Right-Back,Defender,France,€7.00m,https://www.transfermarkt.us/jonathan-clauss/profil/spieler/175639,jonathan-clauss,175639,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/175639-1666815234.jpg?lm=1
Antoine Mendy,20,OGC Nice,Right-Back,Defender,France,€2.00m,https://www.transfermarkt.us/antoine-mendy/profil/spieler/891998,antoine-mendy,891998,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/891998-1667549413.jpg?lm=1
Youssouf Ndayishimiye,26,OGC Nice,Defensive Midfield,Midfield,Burundi,€15.00m,https://www.transfermarkt.us/youssouf-ndayishimiye/profil/spieler/674612,youssouf-ndayishimiye,674612,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/674612-1667045688.png?lm=1
Pablo Rosario,27,OGC Nice,Defensive Midfield,Midfield,Netherlands,€8.00m,https://www.transfermarkt.us/pablo-rosario/profil/spieler/370791,pablo-rosario,370791,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/370791-1729863723.jpg?lm=1
Hicham Boudaoui,25,OGC Nice,Central Midfield,Midfield,Algeria,€10.00m,https://www.transfermarkt.us/hicham-boudaoui/profil/spieler/560593,hicham-boudaoui,560593,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/560593-1649428044.jpg?lm=1
Morgan Sanson,30,OGC Nice,Central Midfield,Midfield,France,€8.00m,https://www.transfermarkt.us/morgan-sanson/profil/spieler/174094,morgan-sanson,174094,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/174094-1674519367.jpg?lm=1
Tanguy Ndombélé,27,OGC Nice,Central Midfield,Midfield,France,€8.00m,https://www.transfermarkt.us/tanguy-ndombele/profil/spieler/450936,tanguy-ndombele,450936,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/450936-1561540648.jpg?lm=1
Issiaga Camara,19,OGC Nice,Central Midfield,Midfield,Guinea,€0.1m,https://www.transfermarkt.us/issiaga-camara/profil/spieler/1180835,issiaga-camara,1180835,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1180835-1732833301.jpg?lm=1
Tom Louchet,21,OGC Nice,Right Midfield,Midfield,France,€3.00m,https://www.transfermarkt.us/tom-louchet/profil/spieler/750904,tom-louchet,750904,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/750904-1714473093.jpg?lm=1
Rareș Ilie,21,OGC Nice,Attacking Midfield,Midfield,Romania,€2.00m,https://www.transfermarkt.us/rares-ilie/profil/spieler/812654,rares-ilie,812654,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/812654-1667549482.jpg?lm=1
Jérémie Boga,27,OGC Nice,Left Winger,Attack,Cote d'Ivoire,€15.00m,https://www.transfermarkt.us/jeremie-boga/profil/spieler/216569,jeremie-boga,216569,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/216569-1661509174.jpg?lm=1
Sofiane Diop,24,OGC Nice,Left Winger,Attack,Morocco,€12.00m,https://www.transfermarkt.us/sofiane-diop/profil/spieler/569389,sofiane-diop,569389,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/569389-1614091046.jpg?lm=1
Mohamed-Ali Cho,20,OGC Nice,Right Winger,Attack,France,€12.00m,https://www.transfermarkt.us/mohamed-ali-cho/profil/spieler/670847,mohamed-ali-cho,670847,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/670847-1655064069.jpg?lm=1
Badredine Bouanani,19,OGC Nice,Right Winger,Attack,Algeria,€5.00m,https://www.transfermarkt.us/badredine-bouanani/profil/spieler/707242,badredine-bouanani,707242,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/707242-1674921221.jpg?lm=1
Terem Moffi,25,OGC Nice,Centre-Forward,Attack,Nigeria,€20.00m,https://www.transfermarkt.us/terem-moffi/profil/spieler/538874,terem-moffi,538874,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/538874-1603021287.jpg?lm=1
Youssoufa Moukoko,20,OGC Nice,Centre-Forward,Attack,Germany,€20.00m,https://www.transfermarkt.us/youssoufa-moukoko/profil/spieler/467720,youssoufa-moukoko,467720,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/467720-1709561463.jpg?lm=1
Evann Guessand,23,OGC Nice,Centre-Forward,Attack,Cote d'Ivoire,€12.00m,https://www.transfermarkt.us/evann-guessand/profil/spieler/500689,evann-guessand,500689,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/500689-1596556363.jpg?lm=1
Gaëtan Laborde,30,OGC Nice,Centre-Forward,Attack,France,€8.00m,https://www.transfermarkt.us/gaetan-laborde/profil/spieler/181378,gaetan-laborde,181378,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/181378-1596553589.jpg?lm=1
Victor Orakpo,18,OGC Nice,Centre-Forward,Attack,Nigeria,€0.5m,https://www.transfermarkt.us/victor-orakpo/profil/spieler/1231401,victor-orakpo,1231401,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/1231401-1732833262.jpg?lm=1
Lucas Perri,26,Olympique Lyon,Goalkeeper,Goalkeeper,Brazil,€6.00m,https://www.transfermarkt.us/lucas-perri/profil/spieler/352041,lucas-perri,352041,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/352041-1733188777.jpg?lm=1
Anthony Lopes,34,Olympique Lyon,Goalkeeper,Goalkeeper,Portugal,€2.00m,https://www.transfermarkt.us/anthony-lopes/profil/spieler/60561,anthony-lopes,60561,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/60561-1640775949.jpg?lm=1
Rémy Descamps,28,Olympique Lyon,Goalkeeper,Goalkeeper,France,€1.50m,https://www.transfermarkt.us/remy-descamps/profil/spieler/282028,remy-descamps,282028,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/282028-1608790532.jpg?lm=1
Justin Bengui Joao,19,Olympique Lyon,Goalkeeper,Goalkeeper,France,€0.3m,https://www.transfermarkt.us/justin-bengui-joao/profil/spieler/802986,justin-bengui-joao,802986,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/802986-1706082699.jpg?lm=1
Moussa Niakhaté,28,Olympique Lyon,Centre-Back,Defender,Senegal,€15.00m,https://www.transfermarkt.us/moussa-niakhate/profil/spieler/291200,moussa-niakhate,291200,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/291200-1700737208.jpg?lm=1
Warmed Omari,24,Olympique Lyon,Centre-Back,Defender,Comoros,€8.00m,https://www.transfermarkt.us/warmed-omari/profil/spieler/711996,warmed-omari,711996,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/711996-1632760467.jpg?lm=1
Duje Caleta-Car,28,Olympique Lyon,Centre-Back,Defender,Croatia,€7.00m,https://www.transfermarkt.us/duje-caleta-car/profil/spieler/238266,duje-caleta-car,238266,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/238266-1662069879.jpg?lm=1
Nicolás Tagliafico,32,Olympique Lyon,Left-Back,Defender,Argentina,€8.00m,https://www.transfermarkt.us/nicolas-tagliafico/profil/spieler/131225,nicolas-tagliafico,131225,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/131225-1668181437.jpg?lm=1
Abner,24,Olympique Lyon,Left-Back,Defender,Brazil,€7.00m,https://www.transfermarkt.us/abner/profil/spieler/646402,abner,646402,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/646402-1727464001.jpg?lm=1
Ainsley Maitland-Niles,27,Olympique Lyon,Right-Back,Defender,England,€9.00m,https://www.transfermarkt.us/ainsley-maitland-niles/profil/spieler/285845,ainsley-maitland-niles,285845,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/285845-1702991138.jpg?lm=1
Saël Kumbedi,19,Olympique Lyon,Right-Back,Defender,France,€5.00m,https://www.transfermarkt.us/sael-kumbedi/profil/spieler/951579,sael-kumbedi,951579,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/951579-1672831110.jpg?lm=1
Clinton Mata,32,Olympique Lyon,Right-Back,Defender,Angola,€4.00m,https://www.transfermarkt.us/clinton-mata/profil/spieler/187718,clinton-mata,187718,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/187718-1616529648.jpg?lm=1
Irvyn Lomami,20,Olympique Lyon,Right-Back,Defender,France,€0.15m,https://www.transfermarkt.us/irvyn-lomami/profil/spieler/802987,irvyn-lomami,802987,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Tanner Tessmann,23,Olympique Lyon,Defensive Midfield,Midfield,United States,€7.00m,https://www.transfermarkt.us/tanner-tessmann/profil/spieler/670096,tanner-tessmann,670096,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/670096-1722196121.jpg?lm=1
Nemanja Matic,36,Olympique Lyon,Defensive Midfield,Midfield,Serbia,€3.00m,https://www.transfermarkt.us/nemanja-matic/profil/spieler/74683,nemanja-matic,74683,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/74683-1655212906.jpg?lm=1
Paul Akouokou,26,Olympique Lyon,Defensive Midfield,Midfield,Cote d'Ivoire,€1.00m,https://www.transfermarkt.us/paul-akouokou/profil/spieler/429901,paul-akouokou,429901,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/429901-1702991425.jpg?lm=1
Maxence Caqueret,24,Olympique Lyon,Central Midfield,Midfield,France,€18.00m,https://www.transfermarkt.us/maxence-caqueret/profil/spieler/395237,maxence-caqueret,395237,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/395237-1672831706.jpg?lm=1
Jordan Veretout,31,Olympique Lyon,Central Midfield,Midfield,France,€8.00m,https://www.transfermarkt.us/jordan-veretout/profil/spieler/164771,jordan-veretout,164771,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/164771-1666815169.jpg?lm=1
Corentin Tolisso,30,Olympique Lyon,Central Midfield,Midfield,France,€5.00m,https://www.transfermarkt.us/corentin-tolisso/profil/spieler/190393,corentin-tolisso,190393,Ligue 1,https://img.a.transfermarkt.technology/portrait/header/190393-1672830594.jpg?lm=1
